food_id,canonical_name,canonical_name_original,primary_category,serving_type,serving_size_g,serving_size_min_g,serving_size_max_g,serving_size_confidence,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,available_carbs_g,notes,available_carbs_per100g,gl_per100g_median,gl_per100g_min,gl_per100g_max,serving_size_per100g_g,portion_serving_key,available_carbs_portion_median,available_carbs_portion_min,available_carbs_portion_max,Serving size G,Serving size min ,Serving Size Max,Serving size confidence
INDWEB_0013,Aloo kulcha,Aloo kulcha,Breads & flatbreads,portion,67,44,90,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,7.93,5.21,10.66,Low,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,naan_piece_44_90g,11.17,7.33,15.0,150.0,105.0,195.0,0.6
INDWEB_0014,Paneer kulcha,Paneer kulcha,Breads & flatbreads,portion,67,44,90,0.9,69.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,7.77,5.1,10.43,Low,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Paneer' (food_id=WEST_IN_0120); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.59,11.59,11.59,100.0,naan_piece_44_90g,11.17,7.33,15.0,150.0,105.0,195.0,0.6
INDWEB_0015,Tandoori roti,Tandoori roti,Breads & flatbreads,piece,55,43,68,0.9,69.0,Henry et al. GI tables (non-Indian cohort),5.06,3.96,6.26,Low,0.45,13.33,"Per-100g values proxy-mapped to validated source item 'Rice Flour Roti' (food_id=NONIND_0583); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",13.33,9.2,9.2,9.2,100.0,roti_chapati_piece_43_68g,7.33,5.73,9.06,43.0,32.0,54.0,0.75
INDWEB_0016,Roomali roti,Roomali roti,Breads & flatbreads,piece,55,43,68,0.9,69.0,Henry et al. GI tables (non-Indian cohort),5.06,3.96,6.26,Low,0.45,13.33,"Per-100g values proxy-mapped to validated source item 'Rice Flour Roti' (food_id=NONIND_0583); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",13.33,9.2,9.2,9.2,100.0,roti_chapati_piece_43_68g,7.33,5.73,9.06,38.0,28.0,48.0,0.8
INDWEB_0017,Missi roti,Missi roti,Breads & flatbreads,piece,55,43,68,0.9,69.0,Henry et al. GI tables (non-Indian cohort),5.06,3.96,6.26,Low,0.45,13.33,"Per-100g values proxy-mapped to validated source item 'Rice Flour Roti' (food_id=NONIND_0583); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",13.33,9.2,9.2,9.2,100.0,roti_chapati_piece_43_68g,7.33,5.73,9.06,38.0,28.0,48.0,0.8
INDWEB_0018,Makki roti,Makki roti,Breads & flatbreads,piece,55,43,68,0.9,69.0,Henry et al. GI tables (non-Indian cohort),5.06,3.96,6.26,Low,0.45,13.33,"Per-100g values proxy-mapped to validated source item 'Rice Flour Roti' (food_id=NONIND_0583); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",13.33,9.2,9.2,9.2,100.0,roti_chapati_piece_43_68g,7.33,5.73,9.06,38.0,28.0,48.0,0.8
INDWEB_0019,Laccha paratha,Laccha paratha,Breads & flatbreads,piece,79,65,95,0.9,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,24.19,19.9,29.09,High,0.84,43.75,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Paratha' (food_id=T2_0043).",43.75,30.62,30.62,30.62,100.0,paratha_piece_79g,34.56,28.44,41.56,69.0,51.0,86.0,0.7
INDWEB_0020,Methi paratha,Methi paratha,Breads & flatbreads,piece,79,65,95,0.9,39.1,Henry et al. GI tables (non-Indian cohort),4.12,3.39,4.95,Low,0.88,13.33,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Steam Stuffed Bun' (food_id=NONIND_0423).",13.33,5.21,5.21,5.21,100.0,paratha_piece_79g,10.53,8.66,12.66,68.0,50.0,85.0,0.7
INDWEB_0021,Mooli paratha,Mooli paratha,Breads & flatbreads,piece,79,65,95,0.9,80.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,12.64,10.4,15.2,Medium,0.6,20.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Bread Pakora' (food_id=T3_0101).",20.0,16.0,16.0,16.0,100.0,paratha_piece_79g,15.8,13.0,19.0,65.0,48.0,81.0,0.7
INDWEB_0022,Masala poori,Masala poori,Breads & flatbreads,portion,100,100,100,0.75,75.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,25.0,25.0,25.0,High,0.78,33.33,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Pav' (food_id=T2_0051).",33.33,25.0,25.0,25.0,100.0,portion_100g,33.33,33.33,33.33,150.0,105.0,195.0,0.6
INDWEB_0023,Luchi,Luchi,Breads & flatbreads,portion,100,100,100,0.75,46.0,Henry et al. GI tables (non-Indian cohort),11.04,11.04,11.04,Medium,0.88,24.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Tuna Fish Bun' (food_id=NONIND_0519).",24.0,11.04,11.04,11.04,100.0,portion_100g,24.0,24.0,24.0,150.0,105.0,195.0,0.6
INDWEB_0024,Kachori (dal),Kachori (dal),Breads & flatbreads,piece,200,160,240,0.6,70.0,Tier 2 estimate: GI from published GI studies/proxies; carbs from Indian food composition tables; GL computed for 100g.,42.78,34.22,51.34,High,0.78,30.56,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Sev Poha' (food_id=T2_0123).",30.56,21.39,21.39,21.39,100.0,dal_katori_default,61.12,48.9,73.34,62.0,46.0,78.0,0.7
INDWEB_0025,Kachori (pyaaz),Kachori (pyaaz),Breads & flatbreads,portion,100,100,100,0.75,68.0,Tier 4 heuristic estimate: no direct GI data; GI inferred from dominant ingredients and cooking method; carbs approximated from Indian food composition tables/labels.,54.4,54.4,54.4,High,0.55,80.0,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Chicken Popcorn' (food_id=T4_0089).",80.0,54.4,54.4,54.4,100.0,portion_100g,80.0,80.0,80.0,150.0,105.0,195.0,0.55
INDWEB_0026,Kachori (aloo),Kachori (aloo),Breads & flatbreads,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.84,11.84,11.84,Medium,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Aloo Tikki' (food_id=WEST_IN_0099); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.84,11.84,11.84,100.0,portion_100g,16.67,16.67,16.67,150.0,105.0,195.0,0.6
INDWEB_0027,Sheermal,Sheermal,Breads & flatbreads,piece,67,44,90,0.9,62.0,Tier 3 recipe-based estimate: standardized Indian home recipe; weighted-GI method for mixed ingredients; carbs per 100g from food composition tables/labels.,11.42,7.5,15.35,Medium,0.66,27.5,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Gobi Paratha' (food_id=T3_0028).",27.5,17.05,17.05,17.05,100.0,naan_piece_44_90g,18.42,12.1,24.75,64.0,48.0,81.0,0.7
INDWEB_0028,Naan (plain),Naan (plain),Breads & flatbreads,piece,67,44,90,0.9,60.0,Henry et al. GI tables (non-Indian cohort),6.0,3.94,8.05,Low,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",14.92,8.95,8.95,8.95,100.0,naan_piece_44_90g,10.0,6.56,13.43,72.0,54.0,91.0,0.7
INDWEB_0029,Naan (butter),Naan (butter),Breads & flatbreads,piece,67,44,90,0.9,64.7,Henry et al. GI tables (non-Indian cohort),14.47,9.5,19.44,Medium,0.45,33.38,"Per-100g values proxy-mapped to validated source item 'Butter Cake' (food_id=NONIND_0692); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",33.38,21.6,21.6,21.6,100.0,naan_piece_44_90g,22.36,14.69,30.04,55.0,41.0,69.0,0.75
INDWEB_0030,Naan (garlic),Naan (garlic),Breads & flatbreads,piece,67,44,90,0.9,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,19.62,12.89,26.36,Medium,0.41,41.25,"Per-100g values proxy-mapped to validated source item 'Garlic Bread' (food_id=WEST_IN_0133); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=80g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",41.25,29.29,29.29,29.29,100.0,naan_piece_44_90g,27.64,18.15,37.12,51.0,39.0,62.0,0.7
INDWEB_0031,Naan (cheese),Naan (cheese),Breads & flatbreads,portion,67,44,90,0.9,95.0,Henry et al. GI tables (non-Indian cohort),40.82,26.8,54.83,High,0.45,64.13,"Per-100g values proxy-mapped to validated source item 'Cheese Bun' (food_id=NONIND_0008); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",64.13,60.92,60.92,60.92,100.0,naan_piece_44_90g,42.97,28.22,57.72,150.0,105.0,195.0,0.6
INDWEB_0032,Idiyappam (string hoppers),Idiyappam (string hoppers),Breads & flatbreads,piece,100,100,100,0.75,59.4,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 131 g provides 50 g available carbs (table page 23).",11.35,11.35,11.35,Medium,0.45,19.1,"Per-100g values proxy-mapped to validated source item 'Idiyappam' (food_id=IND_HENRY2021_693); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=200g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",19.1,11.35,11.35,11.35,100.0,portion_100g,19.1,19.1,19.1,59.0,43.0,75.0,0.7
INDWEB_0033,Puttu (rice),Puttu (rice),Breads & flatbreads,plate,134,120,150,0.9,48.0,Henry et al. GI tables (non-Indian cohort),33.49,29.99,37.48,High,0.62,52.07,"Per-100g values proxy-mapped to validated source item 'Rice' (food_id=NONIND_0071); mapping_score=0.58; mapping_tier=medium. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",52.07,24.99,24.99,24.99,100.0,cooked_rice_nin_cup_200ml,69.77,62.48,78.1,150.0,120.0,180.0,0.8
INDWEB_0034,Kerala parotta,Kerala parotta,Breads & flatbreads,piece,79,65,95,0.9,70.0,Henry et al. GI tables (non-Indian cohort),36.87,30.34,44.34,High,0.88,66.67,"Per-100g values proxy-mapped to validated source item 'Acorn Jelly' (food_id=NONIND_0398); mapping_score=0.00; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency. | REMAP_V3: replaced sink proxy (GI=71.7, carbs=9.2) using master candidate 'Kurakkan Flour Roti' (food_id=NONIND_0584).",66.67,46.67,46.67,46.67,100.0,paratha_piece_79g,52.67,43.34,63.34,53.0,39.0,66.0,0.75
INDWEB_0035,Set dosa,Set dosa,Breads & flatbreads,piece,80,35,155,0.9,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",15.51,6.79,30.05,Medium,0.64,34.75,"Per-100g values proxy-mapped to validated source item 'Dosa' (food_id=IND_HENRY2021_688); mapping_score=0.58; mapping_tier=medium. Converted from source serving_size_g=120g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",34.75,19.39,19.39,19.39,100.0,dosa_small_medium_large,27.8,12.16,53.86,87.0,65.0,108.0,0.75
INDWEB_0036,Rava dosa,Rava dosa,Breads & flatbreads,piece,80,35,155,0.9,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",15.51,6.79,30.05,Medium,0.64,34.75,"Per-100g values proxy-mapped to validated source item 'Dosa' (food_id=IND_HENRY2021_688); mapping_score=0.58; mapping_tier=medium. Converted from source serving_size_g=120g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",34.75,19.39,19.39,19.39,100.0,dosa_small_medium_large,27.8,12.16,53.86,87.0,65.0,108.0,0.75
INDWEB_0037,Onion dosa,Onion dosa,Breads & flatbreads,piece,80,35,155,0.9,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",15.51,6.79,30.05,Medium,0.64,34.75,"Per-100g values proxy-mapped to validated source item 'Dosa' (food_id=IND_HENRY2021_688); mapping_score=0.58; mapping_tier=medium. Converted from source serving_size_g=120g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",34.75,19.39,19.39,19.39,100.0,dosa_small_medium_large,27.8,12.16,53.86,85.0,63.0,107.0,0.75
INDWEB_0038,Mysore masala dosa,Mysore masala dosa,Breads & flatbreads,piece,267,113,523,0.9,55.8,"Henry et al. (Nutrition & Diabetes, 2021) GI compendium; ref 142; n=11 Healthy; ref food/time: Glucose/2h participants; portion 120 g provides 50 g available carbs (table page 23).",51.77,21.91,101.41,High,0.45,34.75,"Per-100g values proxy-mapped to validated source item 'Dosa' (food_id=IND_HENRY2021_688); mapping_score=0.41; mapping_tier=low. Converted from source serving_size_g=120g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",34.75,19.39,19.39,19.39,100.0,dosa_filled_small,92.78,39.27,181.74,83.0,62.0,105.0,0.75
INDWEB_0039,Uttapam (plain),Uttapam (plain),Breads & flatbreads,piece,100,100,100,0.75,60.0,Henry et al. GI tables (non-Indian cohort),8.95,8.95,8.95,Low,0.45,14.92,"Per-100g values proxy-mapped to validated source item 'Plain Wheat Noodles' (food_id=NONIND_0074); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=250g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",14.92,8.95,8.95,8.95,100.0,portion_100g,14.92,14.92,14.92,72.0,54.0,91.0,0.7
INDWEB_0040,Uttapam (onion),Uttapam (onion),Breads & flatbreads,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,14.2,14.2,14.2,Medium,0.41,20.0,"Per-100g values proxy-mapped to validated source item 'Onion Rings' (food_id=WEST_IN_0230); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",20.0,14.2,14.2,14.2,100.0,portion_100g,20.0,20.0,20.0,150.0,105.0,195.0,0.6
INDWEB_0041,Uttapam (tomato),Uttapam (tomato),Breads & flatbreads,portion,100,100,100,0.75,71.0,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.72,11.72,11.72,Medium,0.41,16.5,"Per-100g values proxy-mapped to validated source item 'Panini Tomato' (food_id=WEST_IN_0163); mapping_score=0.33; mapping_tier=low. Converted from source serving_size_g=200g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.5,11.72,11.72,11.72,100.0,portion_100g,16.5,16.5,16.5,150.0,105.0,195.0,0.6
INDWEB_0042,Uttapam (mixed veg),Uttapam (mixed veg),Breads & flatbreads,portion,100,100,100,0.75,70.5,Proxy GI anchor: refined wheat bread products from International GI Tables (Atkinson 2008).,11.75,11.75,11.75,Medium,0.41,16.67,"Per-100g values proxy-mapped to validated source item 'Burger Veg' (food_id=WEST_IN_0126); mapping_score=0.25; mapping_tier=low. Converted from source serving_size_g=180g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",16.67,11.75,11.75,11.75,100.0,portion_100g,16.67,16.67,16.67,150.0,105.0,195.0,0.6
INDWEB_0043,Akki rotti,Akki rotti,Breads & flatbreads,portion,100,100,100,0.75,36.0,Henry et al. GI tables (non-Indian cohort),4.92,4.92,4.92,Low,0.62,13.67,"Per-100g values proxy-mapped to validated source item 'Rotti' (food_id=NONIND_0654); mapping_score=0.50; mapping_tier=medium. Converted from source serving_size_g=150g. Hint: Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency.",13.67,4.92,4.92,4.92,100.0,portion_100g,13.67,13.67,13.67,150.0,105.0,195.0,0.55
