Suggested_item,Category,Standardization_hint
Uttapam (plain),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Uttapam (onion),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Uttapam (tomato),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Uttapam (mixed veg),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Akki rotti,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bisibelebath,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ven pongal,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sakkarai pongal,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Curd rice (thayir sadam),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tamarind rice (puliyogare),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ghee rice,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Khichdi (moong dal),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Khichdi (masala),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Daliya (broken wheat) porridge,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rava upma,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vegetable upma,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poha (kanda),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poha (indori),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poha (batata),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sabudana khichdi,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sabudana vada,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dhokla (khaman),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dhokla (white),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Handvo,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Methi thepla,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Rice (white, steamed)",Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Rice (parboiled, steamed)",Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Rice (brown, steamed)",Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Basmati rice (steamed),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sona masuri rice (steamed),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Idli rice (cooked),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Red rice (Kerala, cooked)",Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Broken rice (cooked),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Puffed rice (murmura),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Flattened rice (chivda),Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
"Rice flakes (poha, raw)",Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Semolina (sooji) cooked,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vermicelli (sevai) upma,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vermicelli (sevai) kheer,Breads & staples,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dal palak,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dal dhokli,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dal makhani (restaurant style),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chana dal (boiled),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masoor dal (boiled),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Moong dal (boiled),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Toor dal (boiled),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Urad dal (boiled),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rajma curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole (chickpea curry),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kala chana curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Lobia (black-eyed peas) curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole kulche (combo),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rajma chawal (combo),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kadhi (plain),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Punjabi kadhi,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Gujarati kadhi,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sindhi kadhi,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Avial,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kootu,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poriyal (beans),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poriyal (cabbage),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chana saag,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sarson ka saag,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Saag paneer,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo palak,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo jeera,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo baingan,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo tamatar,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bhindi fry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Baingan fry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Gobi manchurian (dry),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Gobi manchurian (gravy),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vegetable jalfrezi,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mixed vegetable curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole bhature (combo),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pav bhaji (with pav),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bhaji (pav bhaji bhaji only),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chicken curry (home style),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mutton curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mutton rogan josh,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fish curry (Goan),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fish curry (Bengali),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Egg omelette (plain),"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masala omelette,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Soyabean curry,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Soya chaap gravy,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Soya chunks pulao,"Dal, legumes & curries","Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Samosa chaat,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo tikki chaat,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dahi puri,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Poha jalebi (combo),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole tikki,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chole chaat,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dahi bhalla,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rava idli,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Idli with chutney,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dosa with sambar,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Dosa with chutney,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Plain dosa,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Onion uttapam,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Rava uttapam,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kathi roll (egg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kathi roll (paneer),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kathi roll (chicken),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Frankie roll (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Frankie roll (egg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Paneer tikka roll,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chicken tikka roll,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Momos (veg steamed),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Momos (chicken steamed),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Momos (veg fried),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Momos (chicken fried),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chowmein (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chowmein (egg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chowmein (chicken),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Hakka noodles (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Hakka noodles (chicken),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fried rice (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fried rice (egg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fried rice (chicken),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Manchurian balls (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Spring roll (veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Spring roll (chicken),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pakora (onion),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pakora (paneer),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pakora (spinach/palak),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pakora (mixed veg),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chana jor garam,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Masala peanuts,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Baked/roasted makhana,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Namkeen mixture,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Aloo bhujiya,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bhujia sev,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sev (plain),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mathri,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Namak pare,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Shakarpare,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Banana chips,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Potato chips (salted),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Potato chips (masala),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Murukku,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chakli,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kara sev,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ribbon pakoda,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Upma (rava),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Upma (vermicelli),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pongal (ven),Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Pesarattu upma combo,Snacks & street food,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Vegetable pulao,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Peas pulao,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Jeera pulao,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mutton biryani,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Hyderabadi biryani (chicken),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Hyderabadi biryani (mutton),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Egg biryani,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fish biryani,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Fried rice (schezwan veg),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Schezwan noodles (veg),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tehri (veg),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Tahari (chicken),Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kushka rice,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Bagara rice,Rice dishes & biryani,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Imarti,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kala jamun,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Kheer (rice),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Phirni,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sheer khurma,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Seviyan kheer,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Halwa (suji),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Halwa (gajar),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Halwa (moong dal),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Halwa (atte ka),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Badam halwa,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladoo (boondi),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladoo (besan),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladoo (motichoor),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladoo (til),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Ladoo (rava),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Barfi (kaju katli),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Barfi (coconut),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Barfi (milk),Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Sandesh,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Mishti doi,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
Chhena poda,Sweets & desserts,"Specify cooking method + typical add-ons (oil/ghee/butter, chutney, sugar) for GI/GL consistency."
