food_id,canonical_name,primary_category,gi,gi_evidence,gl_median,gl_min,gl_max,gl_category,confidence_score,serving_size_g,available_carbs_g,notes
BASE_0048,Corn Flakes with Milk,Western breakfast,74.7,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,21.1,17.9,24.2,High,0.75,100,28.2,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0049,Choco Flakes with Milk,Western breakfast,74.7,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,21.1,17.9,24.2,High,0.75,100,28.2,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0050,Granola with Milk,Western breakfast,74.7,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,21.1,17.9,24.2,High,0.75,100,28.2,Distinct base dish; GI/GL computed from cereal recipe anchor.
BASE_0051,Oats Porridge,Western breakfast,55.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,6.6,5.6,7.6,Low,0.75,100,12.0,Distinct base dish; GI/GL computed from oats recipe anchor.
BASE_0052,Pancake,Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0053,Waffle,Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0054,Croissant,Western breakfast,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0055,Chocolate Cake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0056,Vanilla Cake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0057,Chocolate Brownie,Western desserts,74.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.2,23.2,31.3,High,0.75,100,36.8,Distinct base dish; GI/GL computed from brownie recipe anchor.
BASE_0058,Brownie with Ice Cream,Western desserts,74.1,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.2,23.2,31.3,High,0.75,100,36.8,Distinct base dish; GI/GL computed from brownie recipe anchor.
BASE_0059,Cheesecake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0060,Donut Glazed,Western desserts,78.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,30.5,25.9,35.0,High,0.75,100,38.7,Distinct base dish; GI/GL computed from donut recipe anchor.
BASE_0061,Donut Chocolate,Western desserts,78.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,30.5,25.9,35.0,High,0.75,100,38.7,Distinct base dish; GI/GL computed from donut recipe anchor.
BASE_0062,Cupcake,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0063,Muffin,Western desserts,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.75,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0064,Ice Cream Vanilla,Western desserts,59.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,14.1,11.9,16.2,Medium,0.75,100,23.5,Distinct base dish; GI/GL computed from icecream recipe anchor.
BASE_0065,Ice Cream Chocolate,Western desserts,59.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,14.1,11.9,16.2,Medium,0.75,100,23.5,Distinct base dish; GI/GL computed from icecream recipe anchor.
BASE_0066,Soft Drink Cola,Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,6.2,5.3,7.2,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0067,Soft Drink Orange,Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,6.2,5.3,7.2,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0068,Cold Coffee Sweetened,Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,6.2,5.3,7.2,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0069,Cold Coffee Unsweetened,Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,1.4,1.1,1.6,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0070,Cappuccino Unsweetened,Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,1.4,1.1,1.6,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0071,Latte Unsweetened,Western beverages,30.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,1.4,1.1,1.6,Low,0.75,100,4.5,Distinct base dish; GI/GL computed from coffee_plain recipe anchor.
BASE_0072,Milkshake Chocolate,Western beverages,56.2,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,9.0,7.6,10.3,Low,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0073,Milkshake Vanilla,Western beverages,56.2,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,9.0,7.6,10.3,Low,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0074,Hot Chocolate,Western beverages,56.2,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,9.0,7.6,10.3,Low,0.75,100,16.0,Distinct base dish; GI/GL computed from milkshake recipe anchor.
BASE_0075,Iced Tea Sweetened,Western beverages,54.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,6.2,5.3,7.2,Low,0.75,100,11.5,Distinct base dish; GI/GL computed from coffee_sweet recipe anchor.
BASE_0076,Focaccia Bread,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0077,Garlic Bread,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0078,Panini Veg,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0079,Panini Chicken,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0080,Flatbread Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0081,Stuffed Crust Pizza,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0082,Sicilian Pizza,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0083,Neapolitan Pizza,Western mains,70.5,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,17.4,14.8,20.0,Medium,0.72,100,24.7,Distinct base dish; GI/GL computed from pizza recipe anchor.
BASE_0084,Udon Noodles,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.72,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0085,Soba Noodles,Western mains,41.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,8.1,6.9,9.3,Low,0.72,100,19.5,Distinct base dish; GI/GL computed from noodles recipe anchor.
BASE_0086,Potato Skins,Western mains,78.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,16.4,13.9,18.8,Medium,0.72,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0087,Loaded Potato,Western mains,78.0,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,16.4,13.9,18.8,Medium,0.72,100,21.0,Distinct base dish; GI/GL computed from potato recipe anchor.
BASE_0088,Blondie Dessert,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0089,Chocolate Mousse,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0090,Danish Pastry,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0091,Eclair,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0092,Protein Bar Sweetened,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0093,Cereal Bar,Western mains,75.3,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,27.9,23.7,32.1,High,0.72,100,37.0,Distinct base dish; GI/GL computed from cake recipe anchor.
BASE_0094,Breakfast Sandwich,Western mains,70.8,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,22.1,18.8,25.4,High,0.72,100,31.2,Distinct base dish; GI/GL computed from sandwich recipe anchor.
BASE_0095,Rice Bowl Veg,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.72,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
BASE_0096,Rice Bowl Chicken,Western mains,72.6,Recipe-weighted GI using anchored ingredient GI (GI Search) and carb shares (USDA-style data).,15.0,12.7,17.2,Medium,0.72,100,20.6,Distinct base dish; GI/GL computed from rice_bowl recipe anchor.
